iter	Passed	Remaining
806	7395	20097
807	7405	20090
808	7414	20080
809	7424	20072
810	7433	20064
811	7442	20054
812	7451	20044
813	7460	20036
814	7469	20026
815	7478	20015
816	7486	20004
817	7494	19992
818	7503	19983
819	7512	19971
820	7521	19962
821	7530	19952
822	7538	19941
823	7547	19931
824	7556	19922
825	7565	19911
826	7574	19901
827	7582	19891
828	7592	19882
829	7600	19871
830	7609	19860
831	7617	19850
832	7626	19839
833	7634	19828
834	7643	19818
835	7652	19808
836	7661	19798
837	7670	19788
838	7679	19779
839	7687	19768
840	7696	19758
841	7705	19748
842	7715	19740
843	7724	19731
844	7733	19722
845	7742	19712
846	7750	19702
847	7759	19692
848	7768	19681
849	7776	19671
850	7785	19660
851	7794	19651
852	7803	19641
853	7811	19630
854	7821	19621
855	7830	19613
856	7840	19604
857	7849	19595
858	7858	19587
859	7867	19578
860	7876	19567
861	7885	19559
862	7894	19548
863	7903	19539
864	7913	19531
865	7922	19521
866	7931	19512
867	7941	19505
868	7950	19495
869	7961	19491
870	7970	19483
871	7980	19475
872	7989	19465
873	7998	19456
874	8007	19446
875	8016	19438
876	8025	19427
877	8035	19420
878	8044	19411
879	8054	19403
880	8064	19395
881	8073	19387
882	8082	19378
883	8091	19368
884	8100	19358
885	8110	19350
886	8119	19341
887	8128	19332
888	8138	19325
889	8147	19315
890	8155	19305
891	8164	19295
892	8173	19286
893	8182	19275
894	8191	19265
895	8200	19256
896	8209	19246
897	8219	19239
898	8228	19230
899	8238	19222
900	8248	19216
901	8258	19207
902	8267	19199
903	8276	19190
904	8285	19180
905	8294	19170
906	8303	19161
907	8313	19154
908	8324	19149
909	8334	19140
910	8352	19152
911	8369	19162
912	8384	19165
913	8397	19164
914	8407	19157
915	8417	19149
916	8426	19141
917	8435	19132
918	8446	19126
919	8455	19116
920	8464	19107
921	8473	19098
922	8482	19088
923	8491	19079
924	8500	19069
925	8509	19059
926	8519	19052
927	8529	19043
928	8538	19033
929	8549	19028
930	8558	19019
931	8567	19011
932	8577	19002
933	8586	18993
934	8595	18983
935	8604	18973
936	8612	18963
937	8621	18953
938	8630	18943
939	8639	18932
940	8647	18921
941	8656	18911
942	8664	18900
943	8673	18891
944	8682	18880
945	8691	18871
946	8700	18861
947	8708	18851
948	8718	18842
949	8727	18833
950	8736	18823
951	8745	18813
952	8754	18803
953	8763	18793
954	8771	18783
955	8796	18807
956	8804	18794
957	8812	18783
958	8821	18774
959	8829	18763
960	8838	18753
961	8846	18741
962	8856	18733
963	8865	18723
964	8874	18714
965	8885	18708
966	8894	18698
967	8902	18688
968	8911	18677
969	8919	18666
970	8928	18657
971	8937	18647
972	8946	18637
973	8954	18626
974	8963	18615
975	8971	18604
976	8980	18594
977	8988	18584
978	8998	18575
979	9007	18567
980	9016	18556
981	9027	18551
982	9035	18540
983	9045	18531
984	9054	18523
985	9063	18512
986	9072	18503
987	9081	18493
988	9090	18483
989	9099	18475
990	9108	18466
991	9118	18456
992	9126	18446
993	9135	18436
994	9145	18427
995	9153	18417
996	9162	18408
997	9171	18397
998	9179	18387
999	9188	18377
1000	9197	18366
1001	9218	18382
1002	9226	18370
1003	9235	18360
1004	9243	18348
1005	9252	18338
1006	9260	18328
1007	9269	18318
1008	9277	18307
1009	9287	18299
1010	9298	18293
1011	9308	18285
1012	9318	18277
1013	9327	18268
1014	9336	18258
1015	9345	18250
1016	9355	18241
1017	9364	18233
1018	9374	18224
1019	9384	18216
1020	9393	18206
1021	9403	18199
1022	9411	18188
1023	9421	18180
1024	9430	18171
1025	9439	18161
1026	9448	18151
1027	9457	18141
1028	9465	18131
1029	9474	18120
1030	9482	18109
1031	9491	18099
1032	9500	18090
1033	9508	18079
1034	9518	18071
1035	9527	18061
1036	9536	18051
1037	9545	18042
1038	9554	18033
1039	9563	18022
1040	9571	18012
1041	9580	18001
1042	9588	17991
1043	9597	17980
1044	9605	17970
1045	9614	17960
1046	9623	17950
1047	9632	17942
1048	9642	17933
1049	9651	17923
1050	9659	17913
1051	9668	17903
1052	9677	17894
1053	9686	17883
1054	9694	17873
1055	9703	17862
1056	9712	17853
1057	9720	17843
1058	9730	17834
1059	9739	17825
1060	9747	17814
1061	9756	17804
1062	9765	17795
1063	9774	17785
1064	9783	17775
1065	9792	17766
1066	9804	17762
1067	9814	17753
1068	9822	17743
1069	9831	17733
1070	9840	17724
1071	9850	17715
1072	9858	17705
1073	9867	17695
1074	9876	17685
1075	9885	17676
1076	9895	17667
1077	9903	17657
1078	9912	17648
1079	9921	17638
1080	9930	17628
1081	9939	17619
1082	9948	17609
1083	9957	17599
1084	9965	17588
1085	9973	17577
1086	9982	17568
1087	9991	17558
1088	10000	17548
1089	10008	17538
1090	10017	17528
1091	10025	17517
1092	10035	17508
1093	10043	17498
1094	10053	17491
1095	10062	17481
1096	10070	17470
1097	10079	17459
1098	10087	17449
1099	10096	17439
1100	10106	17431
1101	10114	17421
1102	10123	17410
1103	10131	17400
1104	10140	17390
1105	10149	17381
1106	10158	17370
1107	10166	17360
1108	10175	17351
1109	10185	17342
1110	10193	17331
1111	10202	17322
1112	10212	17314
1113	10220	17303
1114	10229	17294
1115	10238	17284
1116	10246	17273
1117	10256	17264
1118	10264	17254
1119	10274	17245
1120	10283	17237
1121	10294	17230
1122	10304	17222
1123	10312	17212
1124	10321	17203
1125	10331	17194
1126	10340	17185
1127	10350	17177
1128	10359	17168
1129	10368	17159
1130	10379	17152
1131	10388	17142
1132	10397	17133
1133	10406	17123
1134	10415	17114
1135	10423	17103
1136	10432	17094
1137	10441	17084
1138	10449	17074
1139	10458	17063
1140	10466	17052
1141	10475	17043
1142	10484	17034
1143	10493	17023
1144	10502	17014
1145	10511	17004
1146	10519	16994
1147	10527	16983
1148	10537	16975
1149	10546	16965
1150	10555	16956
1151	10564	16946
1152	10572	16936
1153	10581	16926
1154	10590	16917
1155	10599	16907
1156	10608	16897
1157	10616	16888
1158	10626	16879
1159	10635	16870
1160	10643	16859
1161	10652	16849
1162	10660	16839
1163	10670	16830
1164	10678	16820
1165	10688	16811
1166	10696	16800
1167	10706	16792
1168	10715	16783
1169	10723	16772
1170	10732	16762
1171	10741	16753
1172	10750	16744
1173	10758	16733
1174	10767	16723
1175	10776	16714
1176	10785	16704
1177	10794	16695
1178	10813	16701
1179	10821	16690
1180	10829	16679
1181	10837	16669
1182	10845	16658
1183	10854	16648
1184	10863	16639
1185	10873	16630
1186	10882	16620
1187	10892	16613
1188	10902	16605
1189	10911	16596
1190	10921	16588
1191	10929	16577
1192	10937	16567
1193	10946	16557
1194	10955	16547
1195	10963	16536
1196	10972	16526
1197	10981	16517
1198	10990	16508
1199	10999	16498
1200	11009	16490
1201	11017	16480
1202	11027	16472
1203	11037	16464
1204	11046	16455
1205	11054	16444
1206	11062	16433
1207	11072	16425
1208	11080	16415
1209	11090	16406
1210	11099	16397
1211	11107	16386
1212	11116	16376
1213	11125	16367
1214	11133	16357
1215	11142	16346
1216	11151	16337
1217	11159	16326
1218	11167	16316
1219	11177	16307
1220	11185	16297
1221	11194	16287
1222	11203	16278
1223	11212	16268
1224	11220	16258
1225	11229	16248
1226	11237	16238
1227	11245	16227
1228	11255	16219
1229	11265	16211
1230	11276	16205
1231	11286	16196
1232	11295	16187
1233	11317	16196
1234	11325	16185
1235	11335	16177
1236	11344	16168
1237	11353	16159
1238	11377	16171
1239	11386	16161
1240	11394	16150
1241	11402	16140
1242	11410	16129
1243	11419	16119
1244	11428	16109
1245	11437	16100
1246	11446	16090
1247	11455	16081
1248	11463	16071
1249	11472	16061
1250	11481	16051
1251	11489	16041
1252	11498	16031
1253	11507	16021
1254	11516	16013
1255	11525	16003
1256	11534	15993
1257	11543	15984
1258	11551	15974
1259	11560	15964
1260	11568	15953
1261	11577	15944
1262	11586	15935
1263	11595	15925
1264	11603	15915
1265	11612	15904
1266	11620	15894
1267	11628	15883
1268	11637	15874
1269	11646	15864
1270	11655	15855
1271	11663	15845
1272	11672	15835
1273	11681	15825
1274	11690	15816
1275	11700	15808
1276	11708	15798
1277	11719	15790
1278	11728	15781
1279	11737	15771
1280	11745	15761
1281	11753	15751
1282	11763	15742
